|ROW|COL|Value
38|Imp_A07|ABW_A06|3567.015
39|Imp_A08|ABW_A06|1238.507
40|Imp_A09|ABW_A06|3622.792
41|Imp_A10|ABW_A06|605.178
42|Imp_A11|ABW_A06|547.828
43|Imp_A12|ABW_A06|959.328
44|Imp_A13|ABW_A06|379.658
45|Imp_A14|ABW_A06|630.22
46|Imp_A15|ABW_A06|369.935
47|Imp_A16|ABW_A06|581.351
48|Imp_A17|ABW_A06|822.639
49|Imp_A18|ABW_A06|703.366
50|Imp_A19|ABW_A06|1018.888
51|Imp_A20|ABW_A06|892.051
52|Imp_A21|ABW_A06|3253.699
53|Imp_A22|ABW_A06|497.99
54|Imp_A23|ABW_A06|1268.064
55|Imp_A24|ABW_A06|364.409
56|Imp_A25|ABW_A06|187.759
57|Imp_A26|ABW_A06|4625.714
58|Imp_ZL0008|ABW_A06|-3.445
59|Imp_ZLR1|ABW_A06|0.0
0|ABW_A01|ABW_A07|96.99
1|ABW_A02|ABW_A07|1.493
2|ABW_A03|ABW_A07|55927.3
3|ABW_A04|ABW_A07|1411.19
4|ABW_A05|ABW_A07|2469.05
5|ABW_A06|ABW_A07|13623.2
6|ABW_A07|ABW_A07|31296.0
7|ABW_A08|ABW_A07|3216.64
8|ABW_A09|ABW_A07|3040.54
9|ABW_A10|ABW_A07|592.346
10|ABW_A11|ABW_A07|1804.41
11|ABW_A12|ABW_A07|2424.75
12|ABW_A13|ABW_A07|71416.2
13|ABW_A14|ABW_A07|8081.28
14|ABW_A15|ABW_A07|1051.94
15|ABW_A16|ABW_A07|38795.0
16|ABW_A17|ABW_A07|6391.9
17|ABW_A18|ABW_A07|7379.37
18|ABW_A19|ABW_A07|16079.9
19|ABW_A20|ABW_A07|4852.81
20|ABW_A21|ABW_A07|79390.5
21|ABW_A22|ABW_A07|195.676
22|ABW_A23|ABW_A07|2481.24
23|ABW_A24|ABW_A07|0.871
24|ABW_A25|ABW_A07|495.378
25|ABW_A26|ABW_A07|2.266
